valuation_id,company_id,mkt_cap_per_reserve_oz_precious,mkt_cap_per_mi_oz_precious,mkt_cap_per_resource_oz_precious,mkt_cap_per_mineable_oz_precious,mkt_cap_per_reserve_oz_all,mkt_cap_per_mi_oz_all,mkt_cap_per_resource_oz_all,mkt_cap_per_mineable_oz_all,ev_per_reserve_oz_precious,ev_per_mi_oz_precious,ev_per_resource_oz_precious,ev_per_mineable_oz_precious,ev_per_reserve_oz_all,ev_per_mi_oz_all,ev_per_resource_oz_all,ev_per_mineable_oz_all,mkt_cap_per_production_oz,ev_per_production_oz,last_updated
1630,209,,87.61017275639999,17.52203455128,,,87.61017275639999,17.52203455128,,,83.2116189494,16.64232378988,,,83.2116189494,16.64232378988,,,,2025-03-27 05:34:52+0000
1631,210,,85.0426238032,17.00852476064,,,85.0426238032,17.00852476064,,,83.753268491,16.750653698199997,,,83.753268491,16.750653698199997,,,,2025-03-27 05:34:52+0000
1632,211,,14.577181978629962,56.92389562655,,,14.577181978629962,56.92389562655,,,15.992810146312422,62.451923621350005,,,15.992810146312422,62.451923621350005,,,,2025-03-27 05:34:52+0000
1633,212,,32.166448430703625,134.69700280357142,,,32.166448430703625,134.69700280357142,,,31.848724513475474,133.36653390017855,,,31.848724513475474,133.36653390017855,,,,2025-03-27 05:34:52+0000
1634,213,,34.019631008299996,11.339877002766666,,,34.019631008299996,11.339877002766666,,,33.5892546348,11.1964182116,,,33.5892546348,11.1964182116,,,,2025-03-27 05:34:52+0000
1635,214,,,,,,,,,,,,,,,,,,,2025-03-27 05:34:52+0000
1636,215,,0.19637688823770494,0.2348821604411765,,,0.19637688823770494,0.2348821604411765,,,0.19347130450000002,0.2314068544019608,,,0.19347130450000002,0.2314068544019608,,,,2025-03-27 05:34:52+0000
1637,216,,77.09997608444444,30.70353029911504,433.687365475,,30.43420108596491,12.945891506716418,433.687365475,,67.35084522364443,26.82113305366371,378.8485043829999,,26.58585995670175,11.308910578597013,378.8485043829999,,,2025-03-27 05:34:52+0000
1638,218,,,30.7218759901,,,,30.7218759901,,,,30.7218759901,,,,30.7218759901,,,,2025-03-27 05:34:52+0000
1639,220,,23.865058984853334,39.77509830808889,,,23.865058984853334,39.77509830808889,,,23.201802692764446,38.66967115460741,,,23.201802692764446,38.66967115460741,,,,2025-03-27 05:34:52+0000
1640,222,,,41.919181806960005,,,,41.919181806960005,,,,36.40155968678,,,,36.40155968678,,,,2025-03-27 05:34:52+0000
1641,223,,120.722939013,24.1445878026,,,120.722939013,17.246134144714286,,,116.41381879759999,23.282763759519998,,,116.41381879759999,16.630545542514284,,,,2025-03-27 05:34:52+0000
1642,227,,,35.318276028,,,,35.318276028,,,,35.071671803259996,,,,35.071671803259996,,,,2025-03-27 05:34:52+0000
1643,228,,15.45529407996,25.7588234666,,,15.45529407996,25.7588234666,,,11.35603431642,18.9267238607,,,11.35603431642,18.9267238607,,,,2025-03-27 05:34:52+0000
1644,230,,54.8681050779987,205.45502120447688,,,54.8681050779987,205.45502120447688,,,54.19090661905134,202.91923427425792,,,54.19090661905134,202.91923427425792,,,,2025-03-27 05:34:52+0000
1645,231,,,411.45781757080005,,,,411.45781757080005,,,,355.2591957004,,,,355.2591957004,,,,2025-03-27 05:34:53+0000
1646,232,64.71507234696,43.14338156464,129.43014469392,64.71507234696,64.71507234696,43.14338156464,129.43014469392,64.71507234696,89.78750211246,59.85833474164,179.57500422492,89.78750211246,89.78750211246,59.85833474164,179.57500422492,89.78750211246,,,2025-03-27 05:34:53+0000
1647,233,,,16.279837299900002,,,,16.279837299900002,,,,15.936188233400001,,,,15.936188233400001,,,,2025-03-27 05:34:53+0000
1648,234,,3.137612730325,8.366967280866668,,,3.137612730325,8.366967280866668,,,4.003872696375001,10.676993857000001,,,4.003872696375001,10.676993857000001,,,,2025-03-27 05:34:53+0000
1649,237,,230.10011403626666,345.1501710544,,,230.10011403626666,345.1501710544,,,215.52492287189997,323.28738430784995,,,215.52492287189997,323.28738430784995,,,,2025-03-27 05:34:53+0000
1650,239,5.1864712254124905,5.1864712254124905,3.330125336316832,,5.1864712254124905,5.1864712254124905,3.330125336316832,,6.944757804101773,6.944757804101773,4.459084590059406,,6.944757804101773,6.944757804101773,4.459084590059406,,,,2025-03-27 05:34:53+0000
1651,240,,8.404626236,2.801542078666667,,,8.404626236,2.801542078666667,,,8.78179186605,2.9272639553500004,,,8.78179186605,2.9272639553500004,,,,2025-03-27 05:34:53+0000
1652,243,272.2269908,119.779875952,119.779875952,,272.2269908,119.779875952,119.779875952,,286.4365783818182,126.03209448800001,126.03209448800001,,286.4365783818182,126.03209448800001,126.03209448800001,,,,2025-03-27 05:34:53+0000
1653,244,78.26618848305198,78.26618848305198,1578.1172812399998,,43.430589375220954,43.430589375220954,841.6625499946666,,87.65176784404387,87.65176784404387,1767.3630497015386,,48.638729073553854,48.638729073553854,942.5936265074872,,,,2025-03-27 05:34:53+0000
1654,247,,,0.38855925180833334,,,,0.38855925180833334,,,,-0.1819146746666667,,,,-0.1819146746666667,,,,2025-03-27 05:34:53+0000
1655,250,,32.062291187013955,977.7861851358866,,,32.062291187013955,977.7861851358866,,,31.1817703989907,950.9334235153192,,,31.1817703989907,950.9334235153192,,,,2025-03-27 05:34:53+0000
1656,251,,72.76655333867924,71.25408456258661,,,70.28022463690205,68.86834512410715,,,68.19138727698115,66.77401433127021,,,65.8613854338041,64.53827724428572,,,,2025-03-27 05:34:53+0000
1657,252,,,,,,,,,,,,,,,,,,,2025-03-27 05:34:53+0000
1658,254,,,,,,,,,,,,,,,,,,,2025-03-27 05:34:53+0000
1659,258,,,,,,,,,,,,,,,,,,,2025-03-27 05:34:53+0000
1660,259,,,,,,,,,,,,,,,,,,,2025-03-27 05:34:53+0000
1661,263,,,,,,,,,,,,,,,,,,,2025-03-27 05:34:53+0000
1662,264,,38.84195906963333,93.22070176712,,,38.84195906963333,93.22070176712,,,38.11295891383334,91.47110139320002,,,38.11295891383334,91.47110139320002,,,,2025-03-27 05:34:53+0000
1663,265,,3.9609000163432837,4.162828252470589,,,2.3962103936343113,2.940501951191136,,,3.8644346053731344,4.061444997019608,,,2.3378520863205416,2.8688877402770085,,,,2025-03-27 05:34:53+0000
1664,267,,,,,,,,,,,,,,,,,,,2025-03-27 05:34:53+0000
1665,268,,,,,,,,,,,,,,,,,,,2025-03-27 05:34:53+0000
1666,269,,,,,,,,,,,,,,,,,,,2025-03-27 05:34:53+0000
