cost_id,company_id,construction_costs,construction_costs_currency,aisc_last_quarter,aisc_last_quarter_currency,aisc_last_year,aisc_last_year_currency,aisc_future,aisc_future_currency,aic_last_quarter,aic_last_quarter_currency,aic_last_year,aic_last_year_currency,tco_current,tco_current_currency,tco_future,tco_future_currency,last_updated
341,339,,,,,,,,,,,,,,,,,2025-03-20 00:00:00+0000
342,340,,,,,,,,,,,,,,,,,2025-03-20 00:00:00+0000
343,341,,,,,,,,,,,,,,,,,2025-03-20 00:00:00+0000
344,342,,,,,,,,,,,,,,,,,2025-03-20 00:00:00+0000
345,343,,,,,,,,,,,,,,,,,2025-03-20 00:00:00+0000
346,344,,,,,,,,,,,,,,,,,2025-03-20 00:00:00+0000
347,345,,,,,,,,,,,,,,,,,2024-05-27 12:10:00+0000
348,346,,,,,,,,,,,,,,,,,2025-03-20 00:00:00+0000
349,347,,,,,,,,,,,,,,,,,2024-06-11 00:00:00+0000
350,348,,,,,,,,,,,,,,,,,2025-03-20 00:00:00+0000
351,349,,,,,,,,,,,,,,,,,2024-06-11 00:00:00+0000
352,350,,,,,,,994.0,USD,,,,,,,879.0,USD,2024-06-11 00:00:00+0000
353,351,,,,,,,675.0,USD,,,,,,,577.0,USD,2024-06-11 00:00:00+0000
354,352,,,,,,,635.0,USD,,,,,,,509.0,USD,2024-06-11 00:00:00+0000
355,353,,,,,,,,,,,,,,,,,2024-06-11 00:00:00+0000
356,354,,,,,,,919.0,USD,,,,,,,785.0,USD,2024-06-11 00:00:00+0000
357,355,,,,,,,,,,,,,,,,,2024-06-11 00:00:00+0000
358,356,,,,,,,1350.0,USD,,,,,,,900.0,USD,2025-03-26 00:00:00+0000
359,357,,,,,,,,,,,,,,,,,2024-06-11 00:00:00+0000
360,358,,,,,,,,,,,,,,,,,2025-03-26 00:00:00+0000
361,359,,,,,,,,,,,,,,,,,2024-06-11 00:00:00+0000
362,360,,,,,,,,,,,,,,,,,2024-06-11 00:00:00+0000
363,361,,,,,,,,,,,,,,,,,2024-06-11 00:00:00+0000
364,362,,,,,,,,,,,,,,,,,2024-06-11 00:00:00+0000
365,363,,,,,,,,,,,,,,,,,2024-06-11 00:00:00+0000
366,364,,,,,,,,,,,,,,,,,2024-06-11 00:00:00+0000
367,365,,,,,,,,,,,,,,,,,2025-03-20 00:00:00+0000
368,366,,,,,,,,,,,,,,,,,2024-06-11 00:00:00+0000
369,367,,,,,,,,,,,,,,,,,2024-06-11 00:00:00+0000
370,368,,,,,,,,,,,,,,,,,2024-05-16 00:00:00+0000
371,369,,,,,,,,,,,,,,,,,2024-05-16 00:00:00+0000
372,370,,,,,,,,,,,,,,,,,2024-05-16 00:00:00+0000
373,371,,,,,,,,,,,,,,,,,2024-05-16 00:00:00+0000
374,372,,,,,,,,,,,,,,,,,2024-05-16 00:00:00+0000
375,373,,,1800.0,USD,1700.0,USD,,,,,,,1200.0,USD,,,2024-05-16 00:00:00+0000
376,374,,,,,,,,,,,,,,,,,2024-05-16 00:00:00+0000
377,375,,,18.0,USD,20.0,USD,,,,,,,15.0,USD,,,2024-05-16 00:00:00+0000
378,376,,,,,,,,,,,,,,,,,2024-05-16 00:00:00+0000
379,377,,,21.0,USD,24.0,USD,,,,,,,18.0,USD,,,2024-05-16 00:00:00+0000
380,378,,,,,,,,,,,,,,,,,2024-05-16 00:00:00+0000
381,379,,,,,,,,,,,,,,,,,2024-05-16 00:00:00+0000
382,380,,,,,,,,,,,,,,,,,2024-05-22 00:00:00+0000
383,381,,,,,,,,,,,,,1150000.0,CAD,,,2025-03-26 00:00:00+0000
384,382,,,,,,,,,,,,,20025000.0,CAD,,,2025-03-26 00:00:00+0000
385,383,,,,,,,1450.0,USD,,,,,,,1200.0,USD,2024-05-22 00:00:00+0000
386,384,,,,,,,,,,,,,,,,,2024-05-16 00:00:00+0000
387,385,,,,,,,,,,,,,3500000.0,CAD,,,2025-03-26 00:00:00+0000
388,386,,,,,,,,,,,,,,,,,2025-03-26 00:00:00+0000
389,387,,,,,,,,,,,,,,,,,2024-05-16 00:00:00+0000
390,388,,,,,,,,,,,,,,,,,2025-03-20 00:00:00+0000
391,389,,,,,,,,,,,,,,,,,2024-05-16 00:00:00+0000
392,390,,,,,,,,,,,,,,,,,2025-03-25 23:24:00+0000
393,391,,,,,,,15.0,USD,,,,,,,,,2025-03-25 23:24:00+0000
394,392,,,,,,,15.0,USD,,,,,,,12.0,USD,2025-03-26 00:00:00+0000
395,393,,,,,,,538.0,USD,,,,,,,400.0,USD,2025-03-26 00:00:00+0000
396,394,,,,,,,1200.0,USD,,,,,,,900.0,USD,2025-03-26 00:00:00+0000
397,395,,,,,,,6000.0,USD,,,,,,,5000.0,USD,2025-03-26 00:00:00+0000
398,396,,,,,,,1662.0,USD,,,,,,,1385.0,USD,2025-03-25 22:56:00+0000
399,397,,,,,,,,,,,,,,,,,2025-03-25 22:56:00+0000
400,398,,,,,,,1214.0,USD,,,,,,,973.0,USD,2025-03-25 22:49:00+0000
401,399,,,1500.0,USD,1500.0,USD,1600.0,USD,1600.0,USD,1600.0,USD,1200.0,USD,1200.0,USD,2025-03-26 05:30:00+0000
402,400,,,,,,,1200.0,USD,,,,,,,1000.0,USD,2025-03-26 05:25:00+0000
403,401,,,1458.0,USD,1458.0,USD,1350.0,USD,1600.0,USD,1600.0,USD,1000.0,USD,1000.0,USD,2025-03-26 05:20:00+0000
404,402,,,,,,,1200.0,USD,,,,,,,1000.0,USD,2025-03-26 05:15:00+0000
405,403,,,,,,,1300.0,USD,,,,,,,1000.0,USD,2025-03-26 05:12:00+0000
406,404,,,,,,,1200.0,USD,,,,,,,1500.0,USD,2025-03-26 05:07:00+0000
407,405,,,1510.0,USD,1510.0,USD,1450.0,USD,,,,,1340.0,USD,1300.0,USD,2025-03-25 00:00:00+0000
408,406,,,,,,,,,,,,,,,,,2025-03-25 00:00:00+0000
409,407,,,,,,,,,,,,,,,,,2025-03-25 00:00:00+0000
410,408,,,,,,,1250.0,USD,,,,,,,1140.0,USD,2024-05-22 00:00:00+0000
411,409,,,,,,,,,,,,,,,,,2025-03-20 00:00:00+0000
412,410,,,,,,,,,,,,,,,,,2025-03-25 21:30:00+0000
413,411,,,,,,,,,,,,,,,,,2025-03-20 00:00:00+0000
414,412,,,1439.0,USD,1365.0,USD,1365.0,USD,,,,,995.0,USD,995.0,USD,2025-03-25 20:59:00+0000
415,413,,,,,,,,,,,,,,,,,2025-03-25 20:55:00+0000
416,414,,,,,,,,,,,,,,,,,2025-03-25 20:54:00+0000
417,415,,,,,1100.0,USD,,,,,,,,,,,2025-03-25 20:53:00+0000
418,416,,,,,,,,,,,,,,,,,2025-03-20 00:00:00+0000
419,417,,,,,,,,,,,,,,,,,2025-03-25 20:47:00+0000
420,418,,,,,,,,,,,,,,,,,2025-03-25 20:47:00+0000
421,419,,,,,,,1900.0,USD,,,,,,,1600.0,USD,2025-03-26 03:45:00+0000
422,420,,,,,,,,,,,,,,,,,2025-03-25 20:49:00+0000
423,421,,,,,,,,,,,,,,,,,2025-03-25 21:00:00+0000
424,422,,,,,,,1600.0,USD,,,,,,,1300.0,USD,2025-03-26 03:43:00+0000
425,423,,,,,,,1700.0,USD,,,,,,,1400.0,USD,2025-03-26 03:44:00+0000
426,424,,,,,,,1500.0,USD,,,,,,,1200.0,USD,2025-03-26 03:40:00+0000
427,425,,,,,,,1700.0,USD,,,,,,,1400.0,USD,2025-03-26 03:39:00+0000
428,426,,,,,,,1600.0,USD,,,,,,,1300.0,USD,2025-03-26 03:38:00+0000
429,427,,,,,,,1800.0,USD,,,,,,,1500.0,USD,2025-03-25 20:16:00+0000
430,428,,,,,,,,,,,,,,,,,2025-03-25 19:53:00+0000
431,429,,,,,,,,,,,,,,,,,2025-03-25 00:00:00+0000
432,430,,,,,,,,,,,,,,,,,2025-03-26 01:01:00+0000
433,431,,,1450.0,USD,1400.0,USD,1500.0,USD,1600.0,USD,1550.0,USD,1100.0,USD,1200.0,USD,2025-03-26 03:41:00+0000
