financial_id,company_id,cash_value,cash_currency,cash_date,investments_json,hedgebook,liabilities,liabilities_currency,other_financial_assets,other_financial_assets_currency,market_cap_value,market_cap_currency,enterprise_value_value,enterprise_value_currency,net_financial_assets,net_financial_assets_currency,trailing_pe,forward_pe,peg_ratio,price_to_sales,price_to_book,enterprise_to_revenue,enterprise_to_ebitda,revenue_value,revenue_currency,cost_of_revenue,gross_profit,operating_expense,operating_income,net_income_value,net_income_currency,ebitda,debt_value,debt_currency,last_updated,data_source,shares_outstanding,free_cash_flow
612,425,456582.0,USD,,,,,USD,,USD,10438110.0,USD,7231552.0,USD,,USD,-3.0,-3.0,,,6.0,,-3.668,,USD,,,1086407.0,,-1779160.0,USD,-1971659.0,,USD,2025-03-18 06:04:40+0000,Yahoo Finance,347936992,-807790.0
613,426,928495.0,CAD,,,,20476.0,CAD,,CAD,3450795.0,CAD,1782765.6813599998,USD,908019.0,CAD,-7.5,,,,1.3636364,,-7.763,,CAD,,,147384.0,,-390177.0,CAD,-327565.0,20476.0,CAD,2025-03-27 05:34:47+0000,Yahoo Finance,46010600,-501871.0
614,427,13361709.0,AUD,,,,223619.0,AUD,,AUD,775712000.0,AUD,678975040.0,AUD,13138090.0,AUD,116.66667,,,2160757.8,17.58794,1891295.4,-130.494,359.0,AUD,0.0,359.0,2388300.0,-2387941.0,-7958131.0,AUD,-5203106.0,223619.0,AUD,2025-03-18 06:04:40+0000,Yahoo Finance,221632000,-11076628.0
615,428,430758.0,CAD,,,,,CAD,,CAD,7695550.0,CAD,5093418.319119999,USD,,CAD,-16.938426016618063,,,,2.3809524,,-16.953,,CAD,,,77848.0,,-454325.0,CAD,-428513.0,,CAD,2025-03-27 05:34:47+0000,Yahoo Finance,153911008,92907.0
616,430,2260484.0,CAD,,,,,CAD,,CAD,14185430.0,CAD,8360698.890060001,USD,,CAD,-4.05,,,,2.7181208,,-19.945,,CAD,,,466900.0,,-3053551.0,CAD,-709654.0,,CAD,2025-03-27 05:34:47+0000,Yahoo Finance,40529800,-1293020.0
617,435,44351.0,CAD,,,,,CAD,,CAD,13861484.0,CAD,9687330.11763,USD,,CAD,-2.8000000000000003,,,,9.333334,,,,CAD,0.0,0.0,0.0,,-3713640.0,CAD,,,CAD,2025-03-27 05:34:47+0000,Yahoo Finance,99010600,-601334.0
618,436,100000.0,CAD,,,,,CAD,,,2000000.0,CAD,1950000.0,CAD,50000.0,CAD,,,,,,,,,CAD,,,,,,CAD,,,CAD,2025-03-27 08:00:18,Yahoo Finance,,
619,433,102432.0,CAD,,,,7805.0,CAD,,CAD,64009876.0,CAD,44811620.22639,USD,94627.0,CAD,-16.5,,,,10.102041,,-19.033,,CAD,,,3573358.0,,-3704943.0,CAD,-3778495.0,7805.0,CAD,2025-03-27 05:34:47+0000,Yahoo Finance,145476992,-2203125.0
620,434,1971424.0,CAD,,,,,CAD,,CAD,25191240.0,CAD,16279645.19576,USD,,CAD,-6.0,,,,8.571428,,-4.87,,CAD,,,5105238.0,,-5090774.0,CAD,-4767703.0,,CAD,2025-03-27 05:34:47+0000,Yahoo Finance,419854016,-3386809.0
621,449,,CAD,,,,,CAD,,CAD,5124801.0,CAD,3593049.22911,USD,,CAD,-0.5588235294117647,,,,,,,,CAD,,,,,,CAD,,,CAD,2025-03-27 05:34:47+0000,Yahoo Finance,46589100,
622,444,39255000.0,USD,2024-12-31 00:00:00+0000,,,1691000.0,USD,,USD,5432038400.0,USD,5394465280.0,USD,37564000.0,USD,-169.0,26.509806,0.22915254237288138,20.194126,3.134709,20.054,26.308,268991008.0,USD,0.0,0.0,0.0,,-23084000.0,USD,205047008.0,1691000.0,USD,2025-03-18 06:04:40+0000,Yahoo Finance,200888992,146962880.0
623,451,758531.0,CAD,,,,,CAD,,CAD,7245552.0,CAD,4548115.293310001,USD,,CAD,-12.0,,,,1.3793104,,-23.733,,CAD,,-196.0,482160.0,-482356.0,-490171.0,CAD,-273333.0,,CAD,2025-03-27 05:34:47+0000,Yahoo Finance,30189800,42909.0
624,438,1416921.0,CAD,,,,,CAD,,CAD,15922724.0,CAD,10170163.541329999,USD,,CAD,-25.5217133540833,,,,1.5909091,,-14.257,,CAD,,,505645.0,,-566748.0,CAD,-697771.0,,CAD,2025-03-27 05:34:47+0000,Yahoo Finance,206634000,-1132177.0
625,439,5189260.0,USD,,,,13027055.0,USD,,USD,305594080.0,USD,309627584.0,USD,-7837795.0,USD,4.1818185,4.6,-0.46000003500000025,2.0317607,1.796875,2.059,3.517,150408496.0,USD,0.0,0.0,0.0,,14879510.0,USD,88028368.0,13027055.0,USD,2025-03-18 06:04:40+0000,Yahoo Finance,664334976,47764336.0
626,440,335102.0,CAD,,,,,CAD,,CAD,11585824.0,CAD,7887993.701420001,USD,,CAD,-2.5833333333333335,,,,0.39240506,,-9.681,,CAD,0.0,0.0,0.0,,-2174320.0,CAD,-1036616.0,,CAD,2025-03-27 05:34:47+0000,Yahoo Finance,68151904,951584.0
627,441,10000000.0,CAD,,,,,CAD,,,60000000.0,CAD,51000000.0,CAD,9000000.0,CAD,,,,,0.32258064,,,,CAD,0.0,0.0,0.0,,,CAD,,,CAD,2025-03-27 08:00:26,Yahoo Finance,,
628,442,20549084.0,CAD,,,,1587225.0,CAD,,CAD,162691616.0,CAD,100770369.93026999,USD,18961859.0,CAD,-5.625,-4.090909,-0.15,,5.7692304,,-5.56,,CAD,0.0,0.0,0.0,,-24744076.0,CAD,-27572488.0,1587225.0,CAD,2025-03-27 05:34:47+0000,Yahoo Finance,382804000,-8750528.0
629,443,1304687.0,USD,,,,,USD,,USD,53085380.0,USD,50482076.0,USD,,USD,-9.25,,,,1.8686869,,-32.558,,USD,,,1996362.0,,-2282277.0,USD,-1550514.0,,USD,2025-03-18 06:04:40+0000,Yahoo Finance,286948000,-2569598.0
630,447,19045.0,USD,,,,,USD,,USD,11891247.0,USD,4599297.0,USD,,USD,6.1250005,0.98,0.011666667619047619,1.2403244,,0.48,0.489,9587207.0,USD,0.0,0.0,0.0,,-773940.0,USD,9413034.0,,USD,2025-03-18 06:04:40+0000,Yahoo Finance,48535700,10680486.0
631,445,26029000.0,USD,,,,147000.0,USD,,USD,367227808.0,USD,341346240.0,USD,25882000.0,USD,-32.0,-22.4,-0.7466666666666668,,2.7184465,,-51.532,,USD,0.0,0.0,0.0,,-3024000.0,USD,-6624000.0,147000.0,USD,2025-03-18 05:40:30+0000,Yahoo Finance,163940992,-277500.0
632,446,106384.0,CAD,,,,,CAD,,CAD,12353704.0,CAD,8586718.5252,USD,,CAD,-10.115822460068998,,,,54.999996,,-11.388,,CAD,,-10288.0,990578.0,-1000866.0,-1033345.0,CAD,-908542.0,,CAD,2025-03-27 05:34:47+0000,Yahoo Finance,190056992,-542819.0
633,453,547263.0,CAD,,,,860324.0,CAD,,CAD,37103220.0,CAD,36061836.0,CAD,-313061.0,CAD,-31.5,,,,4.2,,,,CAD,0.0,0.0,1117995.0,,-1044382.0,CAD,,860324.0,CAD,2025-03-18 06:04:40+0000,Yahoo Finance,58894000,-2145151.0
